Timestamp,Mode,FPS,Contrast_Gain,Visibility_Score
01:01:38,AI MODE: CLEAR (Pass-Through),65.31,0.0,100.0
01:01:38,AI MODE: CLEAR (Pass-Through),24.43,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),7.68,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),63.99,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),66.37,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),7.63,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),60.65,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),64.43,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),7.69,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),60.14,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),64.44,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),6.46,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),67.84,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),63.31,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),7.73,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),64.73,0.0,100.0
01:01:39,AI MODE: CLEAR (Pass-Through),67.36,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),7.06,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),61.96,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),56.14,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),6.96,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),24.64,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),65.71,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),7.21,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),60.44,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),60.37,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),6.99,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),61.6,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),64.66,0.0,100.0
01:01:40,AI MODE: CLEAR (Pass-Through),7.59,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),58.64,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),23.94,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),7.71,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),63.75,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),63.66,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),6.96,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),61.98,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),64.66,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),7.7,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),60.52,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),66.02,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),6.65,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),65.78,0.0,100.0
01:01:41,AI MODE: CLEAR (Pass-Through),63.61,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),7.89,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),59.77,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),63.85,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),5.3,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),57.35,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),59.29,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),7.76,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),23.1,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),62.93,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),7.54,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),62.35,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),60.58,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),7.69,0.0,100.0
01:01:42,AI MODE: CLEAR (Pass-Through),65.18,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),63.36,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),7.92,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),54.94,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),23.96,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),7.71,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),61.68,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),62.16,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),7.89,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),60.46,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),61.2,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),7.59,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),59.4,0.0,100.0
01:01:43,AI MODE: CLEAR (Pass-Through),63.8,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),5.99,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),62.99,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),59.6,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),7.36,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),58.86,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),54.92,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),6.19,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),60.31,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),60.41,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),7.01,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),19.94,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),58.53,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),7.04,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),59.09,0.0,100.0
01:01:44,AI MODE: CLEAR (Pass-Through),60.0,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),6.95,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),55.93,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),63.23,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),7.37,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),62.66,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),23.0,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),7.51,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),60.21,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),59.97,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),7.37,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),59.71,0.0,100.0
01:01:45,AI MODE: CLEAR (Pass-Through),61.51,0.0,100.0
01:01:46,AI MODE: CLEAR (Pass-Through),7.09,0.0,100.0
01:01:46,AI MODE: CLEAR (Pass-Through),61.5,0.0,100.0
01:01:46,AI MODE: CLEAR (Pass-Through),61.3,0.0,100.0
01:01:46,AI MODE: FOGGY (Aggressive DCP),4.85,20.96,52.66
01:01:46,AI MODE: FOGGY (Aggressive DCP),16.77,21.13,52.55
01:01:46,AI MODE: FOGGY (Aggressive DCP),16.43,21.14,52.55
01:01:46,AI MODE: FOGGY (Aggressive DCP),5.7,21.21,52.56
01:01:46,AI MODE: FOGGY (Aggressive DCP),17.04,21.17,52.56
01:01:46,AI MODE: FOGGY (Aggressive DCP),16.45,21.17,52.58
01:01:46,AI MODE: FOGGY (Aggressive DCP),5.54,21.2,52.49
01:01:47,AI MODE: FOGGY (Aggressive DCP),17.11,21.15,52.48
01:01:47,AI MODE: FOGGY (Aggressive DCP),16.82,21.18,52.51
01:01:47,AI MODE: FOGGY (Aggressive DCP),5.74,21.34,52.5
01:01:47,AI MODE: FOGGY (Aggressive DCP),11.23,21.36,52.51
01:01:47,AI MODE: FOGGY (Aggressive DCP),16.83,21.29,52.45
01:01:47,AI MODE: FOGGY (Aggressive DCP),5.81,21.2,52.47
01:01:47,AI MODE: FOGGY (Aggressive DCP),16.44,21.19,52.49
01:01:47,AI MODE: FOGGY (Aggressive DCP),16.93,21.07,52.48
01:01:47,AI MODE: FOGGY (Aggressive DCP),5.81,21.18,52.49
01:01:48,AI MODE: FOGGY (Aggressive DCP),17.1,21.19,52.49
01:01:48,AI MODE: FOGGY (Aggressive DCP),16.62,21.33,52.5
01:01:48,AI MODE: FOGGY (Aggressive DCP),5.76,21.33,52.5
01:01:48,AI MODE: FOGGY (Aggressive DCP),16.94,21.35,52.5
01:01:48,AI MODE: FOGGY (Aggressive DCP),10.66,21.31,52.51
01:01:48,AI MODE: FOGGY (Aggressive DCP),5.74,21.22,52.48
01:01:48,AI MODE: FOGGY (Aggressive DCP),17.04,21.21,52.59
01:01:48,AI MODE: FOGGY (Aggressive DCP),16.86,21.17,52.54
01:01:49,AI MODE: FOGGY (Aggressive DCP),5.8,21.05,52.58
01:01:49,AI MODE: FOGGY (Aggressive DCP),16.8,21.07,52.58
01:01:49,AI MODE: FOGGY (Aggressive DCP),16.91,21.09,52.55
01:01:49,AI MODE: FOGGY (Aggressive DCP),5.29,21.08,52.56
01:01:49,AI MODE: FOGGY (Aggressive DCP),16.91,21.05,52.55
01:01:49,AI MODE: FOGGY (Aggressive DCP),16.69,21.19,52.56
01:01:49,AI MODE: FOGGY (Aggressive DCP),4.62,21.17,52.59
01:01:49,AI MODE: FOGGY (Aggressive DCP),16.74,21.24,52.79
01:01:49,AI MODE: FOGGY (Aggressive DCP),16.63,21.04,52.79
01:01:50,AI MODE: FOGGY (Aggressive DCP),5.67,20.9,52.78
01:01:50,AI MODE: FOGGY (Aggressive DCP),17.31,20.68,52.77
01:01:50,AI MODE: FOGGY (Aggressive DCP),16.84,20.42,52.75
01:01:50,AI MODE: FOGGY (Aggressive DCP),5.58,20.26,52.9
01:01:50,AI MODE: FOGGY (Aggressive DCP),16.78,20.39,52.88
01:01:50,AI MODE: FOGGY (Aggressive DCP),16.28,20.25,52.88
01:01:50,AI MODE: FOGGY (Aggressive DCP),5.7,20.26,52.88
